,Class,probability,long,lat,Distance,character,color_shape,color_char
0,trapezoid,0.6909359693527222,5.000924540106428,5.00000245009348,2.9810782037619283,w,Black,Grey
1,['square'],[0.30785420536994934],[5.001187304136677],[5.000004523249502],[3.845147103818006],['a'],['Black'],['Grey']
2,['M'],[0.20507456362247467],[5.000671508077301],[5.000005748296243],[2.2479253552504312],['t'],['White'],['Grey']
3,['quarter_circle'],[0.19092871248722076],[5.000697460080288],[5.000017998763645],[2.995692799207259],['z'],['Grey'],['Black']
4,['Z'],[0.1805993765592575],[5.001939912223312],[5.000009423436463],[6.315662024329322],['1'],['White'],['Grey']
5,['I'],[0.13646256923675537],[5.001330040153107],[5.000021108497678],[4.8666684503421385],['a'],['White'],['Grey']
6,['W'],[0.12323623895645142],[5.00142736016431],[5.000027516434473],[5.500789084809156],['a'],['Grey'],['Black']
7,['I'],[0.10384932905435562],[5.001888008217337],[5.000013475514143],[6.242817052977321],['a'],['Grey'],['Black']
8,['quarter_circle'],[0.3460398018360138],[5.00053850406199],[5.000040991948616],[4.849973600300429],['4'],['White'],['Grey']
9,['square'],[0.26289820671081543],[5.001187304136677],[5.000004523249502],[3.845147103818006],['7'],['Black'],['Grey']
10,['M'],[0.21867264807224274],[5.000671508077301],[5.000005842530608],[2.250891991399064],['t'],['White'],['Grey']
11,['Z'],[0.15936733782291412],[5.001939912223312],[5.000009329202099],[6.313952321930465],['1'],['White'],['Grey']
12,['W'],[0.1427222043275833],[5.001424116163936],[5.000027516434473],[5.492112794853078],['w'],['Black'],['Grey']
13,['I'],[0.1356227844953537],[5.001333284153481],[5.0000210142633135],[4.870836006557578],['a'],['White'],['Grey']
14,['W'],[0.11314976960420609],[5.001849080212856],[5.000043159339002],[7.616741885113637],['a'],['White'],['Grey']
15,['Z'],[0.10506311058998108],[5.001258672144892],[5.000010083077016],[4.19253687537616],['s'],['White'],['Grey']
16,['V'],[0.4817262291908264],[5.0013235521523605],[5.000021296966407],[4.8584566165032745],['r'],['White'],['Grey']
17,['quarter_circle'],[0.3506617248058319],[5.00053850406199],[5.000040991948616],[4.849973600300429],['3'],['White'],['Grey']
18,['square'],[0.3500901758670807],[5.00119054813705],[5.000004523249502],[3.8554755660330384],['7'],['Black'],['Grey']
19,['trapezoid'],[0.27017056941986084],[5.000918052105681],[5.0000022616247515],[2.958498381546137],['w'],['Black'],['Grey']
20,['M'],[0.17534439265727997],[5.000671508077301],[5.000005654061878],[2.245003131957726],['l'],['White'],['Grey']
21,['Z'],[0.17354534566402435],[5.001939912223312],[5.000009423436463],[6.315662024329322],['1'],['White'],['Grey']
22,['W'],[0.13670797646045685],[5.001424116163936],[5.000027516434473],[5.492112794853078],['a'],['Grey'],['Black']
23,['I'],[0.11566677689552307],[5.001333284153481],[5.0000210142633135],[4.870836006557578],['s'],['White'],['Grey']
24,['I'],[0.10872896760702133],[5.001888008217337],[5.000013475514143],[6.242817052977321],['a'],['Grey'],['Black']
25,['M'],[0.10732248425483704],[5.0006131160705785],[5.000014794795248],[2.559407008686018],['s'],['Grey'],['Black']
26,['V'],[0.5089176297187805],[5.001320308151987],[5.000021296966407],[4.849347124585146],['a'],['White'],['Grey']
27,['quarter_circle'],[0.35524827241897583],[5.000532016061243],[5.000040991948616],[4.8425849853438585],['3'],['White'],['Grey']
28,['square'],[0.2823698818683624],[5.001187304136677],[5.000004617483867],[3.8465154911440447],['7'],['Black'],['Grey']
29,['M'],[0.19534288346767426],[5.000671508077301],[5.000005748296243],[2.2479253552504312],['o'],['White'],['Grey']
30,['Z'],[0.177118718624115],[5.001939912223312],[5.000009423436463],[6.315662024329322],['1'],['White'],['Grey']
31,['trapezoid'],[0.16882938146591187],[5.000918052105681],[5.000001790452928],[2.9545530424339237],['w'],['Grey'],['Black']
32,['W'],[0.15866972506046295],[5.00142736016431],[5.000027516434473],[5.500789084809156],['s'],['Black'],['Grey']
33,['I'],[0.1381683200597763],[5.001333284153481],[5.0000210142633135],[4.870836006557578],['2'],['White'],['Grey']
34,['W'],[0.13183589279651642],[5.00185232421323],[5.000043347807732],[7.637917394031933],['y'],['White'],['Grey']
35,['I'],[0.11155565828084946],[5.001888008217337],[5.000013569748507],[6.245310740867903],['e'],['Grey'],['Black']
36,['V'],[0.47717511653900146],[5.001320308151987],[5.000021296966407],[4.849347124585146],['r'],['White'],['Grey']
37,['quarter_circle'],[0.3949012756347656],[5.0005287720608695],[5.000040991948616],[4.838920082977651],['y'],['White'],['Grey']
38,['square'],[0.22269847989082336],[5.001187304136677],[5.000004617483867],[3.8465154911440447],['7'],['Black'],['Grey']
39,['M'],[0.2043890506029129],[5.000671508077301],[5.000005748296243],[2.2479253552504312],['o'],['White'],['Grey']
40,['trapezoid'],[0.18339115381240845],[5.000914808105308],[5.000001790452928],[2.944159855874753],['i'],['Black'],['Brown']
41,['Z'],[0.17563731968402863],[5.001939912223312],[5.000009423436463],[6.315662024329322],['1'],['White'],['Grey']
42,['W'],[0.15273511409759521],[5.001424116163936],[5.000027516434473],[5.492112794853078],['i'],['Black'],['Grey']
43,['semicircle'],[0.1339244544506073],[5.000882368101574],[5.0000012250467405],[2.8365675474750973],['w'],['Black'],['Brown']
44,['I'],[0.1105232685804367],[5.001333284153481],[5.000020920028949],[4.865876880121403],['a'],['White'],['Grey']
